-----;--------;------;---------------;--------;--------;----------;--------;---------;----------;---------;---------;-----;----------------;
   5 ; USIH   ;    24; EMBORCACAO    ;    5   ; QDEF   ;HIDRLIM   ;  10024 ;     1.00;  (m3/s)  ;    51.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    25; NOVA PONTE    ;    5   ; QDEF   ;HIDRLIM   ;  10025 ;     1.00;  (m3/s)  ;    40.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    26; MIRANDA       ;    5   ; QDEF   ;HIDRLIM   ;  10026 ;     1.00;  (m3/s)  ;    42.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    30; CORUMBA I     ;    5   ; QDEF   ;HIDRLIM   ;  10030 ;     1.00;  (m3/s)  ;    74.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    31; ITUMBIARA     ;    5   ; QDEF   ;HIDRLIM   ;  10031 ;     1.00;  (m3/s)  ;   233.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    32; CACH.DOURADA  ;    5   ; QDEF   ;HIDRLIM   ;  10032 ;     1.00;  (m3/s)  ;   254.00;     -   ; NAO ; OPERUH (RQ)    ;
   5 ; USIH   ;    33; SAO SIMAO     ;    5   ; QDEF   ;HIDRLIM   ;  10033 ;     1.00;  (m3/s)  ;   450.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIT   ;     1; ANGRA 1       ;    6   ; GTER   ;TERMLIM   ;      1 ;     1.00;   (MW)   ;     0.00;   657.00; NAO ; Reg. UT        ;
   6 ; USIT   ;     2; IGARAPE       ;    6   ; GTER   ;TERMLIM   ;      2 ;     1.00;   (MW)   ;     0.00;   131.00; NAO ; Reg. UT        ;
   6 ; USIT   ;     3; ST.CRUZ 12    ;    6   ; GTER   ;TERMLIM   ;      3 ;     1.00;   (MW)   ;     0.00;    84.00; NAO ; Reg. UT        ;
   6 ; USIT   ;    50; PIRAT.12 G    ;    6   ; GTER   ;TERMLIM   ;     50 ;     1.00;   (MW)   ;     0.00;   200.00; NAO ; Reg. UT        ;
   6 ; USIT   ;     4; ST.CRUZ 34    ;    6   ; GTER   ;TERMLIM   ;      4 ;     1.00;   (MW)   ;     0.00;   220.00; NAO ; Reg. UT        ;
   6 ; USIH   ;     6; FURNAS        ;    6   ; QDEF   ;HIDRLIM   ;  10006 ;     1.00;  (m3/s)  ;   102.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;     7; M. DE MORAES  ;    6   ; QDEF   ;HIDRLIM   ;  10007 ;     1.00;  (m3/s)  ;  1100.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;     8; ESTREITO      ;    6   ; QDEF   ;HIDRLIM   ;  10008 ;     1.00;  (m3/s)  ;   115.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    10; IGARAPAVA     ;    6   ; QDEF   ;HIDRLIM   ;  10010 ;     1.00;  (m3/s)  ;   119.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    14; CACONDE       ;    6   ; QDEF   ;HIDRLIM   ;  10014 ;     1.00;  (m3/s)  ;     8.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    15; E. DA CUNHA   ;    6   ; QDEF   ;HIDRLIM   ;  10015 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    16; A.S.OLIVEIRA  ;    6   ; QDEF   ;HIDRLIM   ;  10016 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    24; EMBORCACAO    ;    6   ; QDEF   ;HIDRLIM   ;  10024 ;     1.00;  (m3/s)  ;    51.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    25; NOVA PONTE    ;    6   ; QDEF   ;HIDRLIM   ;  10025 ;     1.00;  (m3/s)  ;    40.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    26; MIRANDA       ;    6   ; QDEF   ;HIDRLIM   ;  10026 ;     1.00;  (m3/s)  ;    42.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    30; CORUMBA I     ;    6   ; QDEF   ;HIDRLIM   ;  10030 ;     1.00;  (m3/s)  ;    74.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    31; ITUMBIARA     ;    6   ; QDEF   ;HIDRLIM   ;  10031 ;     1.00;  (m3/s)  ;   233.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    32; CACH.DOURADA  ;    6   ; QDEF   ;HIDRLIM   ;  10032 ;     1.00;  (m3/s)  ;   254.00;     -   ; NAO ; OPERUH (RQ)    ;
   6 ; USIH   ;    33; SAO SIMAO     ;    6   ; QDEF   ;HIDRLIM   ;  10033 ;     1.00;  (m3/s)  ;   450.00;     -   ; NAO ; OPERUH (RQ)    ;
   7 ; USIT   ;     1; ANGRA 1       ;    7   ; GTER   ;TERMLIM   ;      1 ;     1.00;   (MW)   ;     0.00;   657.00; NAO ; Reg. UT        ;
   7 ; USIT   ;     2; IGARAPE       ;    7   ; GTER   ;TERMLIM   ;      2 ;     1.00;   (MW)   ;     0.00;   131.00; NAO ; Reg. UT        ;
   7 ; USIT   ;     3; ST.CRUZ 12    ;    7   ; GTER   ;TERMLIM   ;      3 ;     1.00;   (MW)   ;     0.00;    84.00; NAO ; Reg. UT        ;
   7 ; USIT   ;    50; PIRAT.12 G    ;    7   ; GTER   ;TERMLIM   ;     50 ;     1.00;   (MW)   ;     0.00;   200.00; NAO ; Reg. UT        ;
   7 ; USIT   ;     4; ST.CRUZ 34    ;    7   ; GTER   ;TERMLIM   ;      4 ;     1.00;   (MW)   ;     0.00;   220.00; NAO ; Reg. UT        ;
   7 ; USIH   ;     6; FURNAS        ;    7   ; QDEF   ;HIDRLIM   ;  10006 ;     1.00;  (m3/s)  ;   102.00;     -   ; NAO ; OPERUH (RQ)    ;
   7 ; USIH   ;     7; M. DE MORAES  ;    7   ; QDEF   ;HIDRLIM   ;  10007 ;     1.00;  (m3/s)  ;  1100.00;     -   ; NAO ; OPERUH (RQ)    ;
   7 ; USIH   ;     8; ESTREITO      ;    7   ; QDEF   ;HIDRLIM   ;  10008 ;     1.00;  (m3/s)  ;   115.00;     -   ; NAO ; OPERUH (RQ)    ;
   7 ; USIH   ;    10; IGARAPAVA     ;    7   ; QDEF   ;HIDRLIM   ;  10010 ;     1.00;  (m3/s)  ;   119.00;     -   ; NAO ; OPERUH (RQ)    ;
   7 ; USIH   ;    14; CACONDE       ;    7   ; QDEF   ;HIDRLIM   ;  10014 ;     1.00;  (m3/s)  ;     8.00;     -   ; NAO ; OPERUH (RQ)    ;
   7 ; USIH   ;    15; E. DA CUNHA   ;    7   ; QDEF   ;HIDRLIM   ;  10015 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
