***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Dados dos cortes do decomp.
  
-----;--------;------;------;---------;-----------;
NITER; NREGDC ; NSIS ; NPLT ; NUTV ; NGNL ;IPTDEC1 ;
   IPTDEC2 ;
-----;--------;------;------;---------;-----------;
  27 ;    135 ;    2 ;   14 ;    0 ;    0 ;    135  ;       0   ;
-----;--------;------;------;---------;-----------;

Cortes da segunda semana de estudo do DECOMP

-----;------;------;-----;-----;-----;----------------;
 IND ; IREG ; TIPO ; USI ; LAG ; PAT ;    Valor       ;
-----;------;------;-----;-----;-----;----------------;
  16 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.55 ;
  16 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.42 ;
  16 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.97 ;
  16 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.51 ;
  16 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.46 ;
  17 ;   55 ; RHS  ;     ;     ;     ;     5979350.13 ;
  17 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.41 ;
  17 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.09 ;
  17 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.99 ;
  17 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.51 ;
  17 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.54 ;
  17 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.33 ;
  17 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  17 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.22 ;
  17 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.71 ;
  17 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.52 ;
  17 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.42 ;
  17 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.90 ;
  17 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.40 ;
  17 ;      ; VARM ;  33 ;  -  ;  -  ;         -36.93 ;
  18 ;   50 ; RHS  ;     ;     ;     ;     5982374.39 ;
  18 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  18 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.11 ;
  18 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.02 ;
  18 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.56 ;
  18 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.71 ;
  18 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.29 ;
  18 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  18 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.21 ;
  18 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
  18 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.56 ;
  18 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.42 ;
  18 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.99 ;
  18 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.53 ;
  18 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.48 ;
  19 ;   45 ; RHS  ;     ;     ;     ;     5979146.89 ;
  19 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  19 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.08 ;
  19 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.97 ;
  19 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.49 ;
  19 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.08 ;
  19 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.33 ;
  19 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.10 ;
  19 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
  19 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.70 ;
  19 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.62 ;
  19 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.37 ;
  19 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.88 ;
  19 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.39 ;
  19 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.03 ;
  20 ;   40 ; RHS  ;     ;     ;     ;     5976679.09 ;
  20 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  20 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.05 ;
  20 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.97 ;
  20 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.46 ;
  20 ;      ; VARM ;  14 ;  -  ;  -  ;         -98.71 ;
  20 ;      ; VARM ;  15 ;  -  ;  -  ;         -52.94 ;
  20 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.10 ;
  20 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.21 ;
  20 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.70 ;
  20 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.42 ;
  20 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.33 ;
  20 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.80 ;
  20 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.26 ;
  20 ;      ; VARM ;  33 ;  -  ;  -  ;         -36.69 ;
  21 ;   35 ; RHS  ;     ;     ;     ;     5985131.01 ;
  21 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.39 ;
  21 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.57 ;
  21 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.80 ;
  21 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.52 ;
  21 ;      ; VARM ;  14 ;  -  ;  -  ;        -100.01 ;
  21 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.00 ;
  21 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.02 ;
  21 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.17 ;
  21 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.65 ;
  21 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.51 ;
  21 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.40 ;
