***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / barra / hora

------;-------;-------;-------------;-------;-------------;
 IPER ; Pat   ; BAR   ; Nome        ; Sist  ;    Cmarg    ;
------;-------;-------;-------------;-------;-------------;
  11  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      219.97 ;
  11  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      219.97 ;
  11  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      219.97 ;
  11  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      219.97 ;
  11  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      219.97 ;
  11  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      219.97 ;
  11  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      219.97 ;
  11  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      219.97 ;
  11  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      219.97 ;
  11  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      219.97 ;
  11  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      219.97 ;
  11  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      219.97 ;
  12  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      256.77 ;
  12  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      257.07 ;
  12  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      247.08 ;
  12  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      257.96 ;
  12  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      258.78 ;
  12  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      259.97 ;
  12  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      259.78 ;
  12  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      259.78 ;
  12  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      258.68 ;
  12  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      260.88 ;
  12  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      269.49 ;
  12  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      256.09 ;
  12  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      258.47 ;
  12  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      288.84 ;
  12  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      227.62 ;
  12  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  12  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      226.31 ;
  12  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      226.65 ;
  12  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      232.99 ;
  12  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      239.31 ;
  12  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      226.95 ;
  12  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      226.70 ;
  12  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      242.76 ;
  12  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      235.06 ;
  13  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      225.20 ;
  13  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      225.25 ;
  13  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      223.64 ;
  13  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      225.39 ;
  13  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      225.52 ;
  13  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      225.71 ;
  13  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      225.68 ;
  13  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      225.68 ;
  13  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      225.50 ;
  13  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      225.86 ;
  13  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      225.96 ;
  13  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      226.37 ;
  13  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      226.49 ;
  13  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      225.78 ;
  13  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      220.51 ;
  13  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  13  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      219.76 ;
  13  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.95 ;
  13  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      228.52 ;
